Gola Sizzlers,"K-4, 1st Floor, Ocean Heights, Sector 18, Noida","Chinese, North Indian, Mughlai, Continental","₹1,600",12 Noon to 11 PM,3.7
Flavor Pirates,"Plot 7, IHDP Business Park, Sector 127, Noida","North Indian, Mughlai, Chinese",₹900,11 AM to 11 PM,2.8
Flluid - Mosaic Hotels,"Mosaic Hotels, C-1, Sector 18, Noida","Continental, North Indian, Mexican","₹2,200","7:30 AM to 3:30 PM, 7:30 PM to 11:30 PM",3.4
Sam and Scrooge,"F-7, Gopalji Mart, Sector 128, Near Jaypee Hospital, Sector 125, Noida","Chinese, Fast Food",₹400,"11 AM to 11 PM (Mon-Sat), 5 PM to 11 PM (Sun)",3.9
Eden Kitchen & Bar,"Supertech Shopprix Mall, Sector 61, Noida","North Indian, Chinese","₹2,000",11 AM to 11 PM,2.6
Bohemia,"Shop 250, 1st Floor, Garden Gallaria Mall, Sector 18, Noida","Mediterranean, Italian",₹800,12 Noon to 11 PM,3.5
Mighty Small @ Smaaash,"4th Floor, DLF Mall of India, Sector 18, Noida","North Indian, Thai, Continental","₹1,200",11 AM to 11 PM,3.5
The Culinary Court - Park Ascent,"Park Ascent, Plot 126, Noida Khoda Road, Opposite IIM Lucknow Noida Campus, Sector 62, Noida","North Indian, Chinese, Continental","₹2,000",12:30 PM to 11:30 PM,3.8
Chicane,"205-A, 1st Floor, Spice World Mall, Sector 25-A, Near, Sector 25, Noida","European, North Indian, Chinese","₹2,500",12:30 PM to 11:30 PM,2.1
Chaudhary's Spice of India,"10, Jagat Farm, Gamma 1, Near Vijaya Bank, Gautam Budh Nagar, Greater Noida, Noida","Chinese, North Indian, Fast Food",₹750,11 AM to 11 PM,2.6
Dilli 6,"The Residency Hotel, Priya Gold Building, Naya Bans, Sector 15, Noida","North Indian, Chinese",₹500,"11 AM to 3:30 PM, 6 PM to 10:30 PM",2.7
R.E.D - Radisson Blu,"Radisson Blu Hotel, L-2, Sector 18, Noida","Japanese, Chinese, Seafood, Thai","₹3,000","12:30 PM to 2:45 PM, 7:30 PM to 11:45 PM",3.9
Fresh Food Factory,"E-1, Sector 3, Noida","North Indian, Chinese",₹200,"9 AM to 6 PM (Mon-Sat), Sun Closed",4.3
Pipa,"J-54, 1st & 2nd Floor, Opposite GIP Mall, Sector 18, Noida","Cafe, North Indian, Chinese, Italian",₹600,11 AM to 12 Midnight,3.3
Costa Coffee,"36, The Great India Place Mall, Sector 38 A, Sector 38, Noida",Cafe,₹600,9 AM to 11 PM,3.5
Sbarro,"G 23, Sector 18, Noida","Pizza, Italian",₹600,11 AM to 11 PM,3.3
Undrgrnd Cafe,"B-1/25, Near Metro Station, Sector 18, Noida",Cafe,₹500,11 AM to 11 PM,2.6
Shree Rathnam,"309, 3rd Floor, The Great India Place, Sector 38-A, Near Sector 38, Noida","South Indian, North Indian, Chinese",₹800,8 AM to 11 PM,3.3
Cross Avenue - Radisson Blu,"Radisson Blu Hotel, C-8, 2nd Cross Ave Road, Kasna, Greater Noida, Noida","North Indian, Continental","₹2,200",24 Hours,3.4
The Smoke Factory,"Gardens Galleria Mall, Sector 38, Noida","Chinese, Italian, North Indian","₹2,000",11 AM to 11:30 PM,3.6
Eggspectation - Jaypee Greens,"Jaypee Greens Golf & Spa Resort, G Block, Surajpur, Noida","European, Continental, North Indian","₹2,500",24 Hours,3.9
Ohiyo,"H-1A/12, Near HDFC Bank, Sector 63, Noida",Cafe,₹450,11 AM to 10 PM (Mon-Sun),3.3
Anchor Bar & Kitchen,"C-26/27, Sector 18, Noida","North Indian, Chinese","₹1,300",12 Noon to 12 Midnight,2.3
Aggarwal Bikaneri Sweets,"B-1/3, Near Sector 18 Metro Station, Sector 18, Noida","North Indian, South Indian, Chinese, Street Food, Mithai",₹400,8 AM to 11 PM,3.3
The Tanya's Cuisine,"Admin Block N, SEZ, Phase 2, Near Sector 110, Noida","North Indian, Mughlai, Chinese",₹500,"11 AM to 4 PM, 6:30 PM to 11 PM",2.7
Cafe Pathshala,"KO-12, Near Amity University, Sector 126, Near Sector 125, Sector 125, Noida","Italian, Chinese, Mexican, Continental, Cafe",₹450,8:30 AM to 10 PM,3.3
The Stonefire Barbeque,"Hotel Ascent Biz, Opposite Unitech Infospace Park, Near Father Agnel School, Sector 62, Noida","Chinese, Continental, North Indian","₹1,200","12:30 PM to 3:30 PM, 6:30 PM to 11 PM (Mon, Wed-Sun), 12:30 PM to 2:30 PM, 6:30 PM to 11 PM (Tue)",3.5
Lucknow Wale Kababi,"1, Matrix Tower, Opposite Jaypee Hospital, B-4, Sector 132, Noida","Mughlai, North Indian",₹500,11 AM to 11 PM,2.9
Paatra - Jaypee Greens,"Jaypee Greens Golf & Spa Resort, G Block, Surajpur, Noida",North Indian,"₹3,500",7 PM to 11 PM,3.7
The Caspian,"B-1/14, Central Market, Sector 50, Noida","North Indian, Chinese","₹1,000",11 AM to 11 PM,2.6
